family,geometry_class,source_constraint,dimension,secret_l1_radius,required_acceptance,source_scale,acceptance_expression,acceptance_exact,acceptance,reciprocal_acceptance_exact,reciprocal_acceptance,source_count,target_count,target_entropy_bits,target_support_log_cardinality,target_coordinate_box_upper_bound,source_max_l2_squared,target_max_l2_squared,target_max_l2
cross_polytope,integral_rational,||x||_1 <= 608,32,2,9/10,608,L_32(606)/L_32(608),41042520500075997913269197272089741383648354407720181325869285/45600199833523002062966692673797704963840821880315725083791269,0.9000513298168394,45600199833523002062966692673797704963840821880315725083791269/41042520500075997913269197272089741383648354407720181325869285,1.1110477445808564,2052008992508535092833501170320896723372836984614207628770607105,1846913422503419906097113877244038362264175948347408159664117825,210.16658621679997,211,352,369664,367236,606.0
cross_blocks_2,integral_rational,16 blocks: ||x_block||_1 <= 93,32,2,1/2,93,(L_2(91)/L_2(93))^16,250404633395104476441333878536287465003305744894311646401/500184370440782870174004938721749206003838248680934254721,0.500624666009531,500184370440782870174004938721749206003838248680934254721/250404633395104476441333878536287465003305744894311646401,1.9975044537277389,76322078009152659633484640307884095154394264019917946582183837890625,38208714812485424261678143087202066803482932265367377685699462890625,224.50308408950525,225,256,138384,132496,364.0
cross_blocks_2,integral_rational,16 blocks: ||x_block||_1 <= 223,32,2,3/4,223,(L_2(221)/L_2(223))^16,484121808158815642276044687448194284939972931169904768466949462890625/645469189799298582774030318552445654551475779724016945971440165487681,0.7500308547792156,645469189799298582774030318552445654551475779724016945971440165487681/484121808158815642276044687448194284939972931169904768466949462890625,1.3332784826490467,98490782134902737850041247337714485862957119708864890437536646345166168212890625,73871125512514593853156232825957379904170674311814082102500833570957183837890625,265.3173300550572,266,288,795664,781456,884.0
cross_blocks_2,integral_rational,16 blocks: ||x_block||_1 <= 608,32,2,9/10,608,(L_2(606)/L_2(608))^16,48255892274614979049420940563676865772670172354790540397612686300845462163898199041/53617084504040454618459716747357162179903214868927185038746950176755301648214322241,0.9000096279195958,53617084504040454618459716747357162179903214868927185038746950176755301648214322241/48255892274614979049420940563676865772670172354790540397612686300845462163898199041,1.1110992249177771,8181317825933907259896807365014215420517458323505735021781456020623062385286609228668212890625,7363264812410732887179708948314951442363002373472677672975568588385843225692474218902587890625,311.81965841204385,312,352,5914624,5875776,2424.0
cross_blocks_4,integral_rational,8 blocks: ||x_block||_1 <= 93,32,2,1/2,93,(L_4(91)/L_4(93))^8,529977012945399397237217023816880479054071183704959681/1058503068905621836524728961301961389821726898301487361,0.5006853815675174,1058503068905621836524728961301961389821726898301487361/529977012945399397237217023816880479054071183704959681,1.997262226568822,45565086284824078528387617197785328700428117529379500313993281,22813772612673996086438652040695609072186946159087145704256001,203.82751882660514,204,256,69192,66248,257.3868683519033
cross_blocks_4,integral_rational,8 blocks: ||x_block||_1 <= 223,32,2,3/4,223,(L_4(221)/L_4(223))^8,6706672710866247884144076017680822154606760765912203005468035134128801/8941784487724353168574434948970573091237273533803505961353838984651361,0.7500373913141658,8941784487724353168574434948970573091237273533803505961353838984651361/6706672710866247884144076017680822154606760765912203005468035134128801,1.3332668631998017,58667048023959481139016867700195930051607751655284802612442537578297579521,44002479655993452367869282752003874156374957385149963918875778515019063361,244.6383357524957,245,288,397832,390728,625.0823945689081
cross_blocks_4,integral_rational,8 blocks: ||x_block||_1 <= 608,32,2,9/10,608,(L_4(606)/L_4(608))^8,15523106566558450998462565541186824443423178474613148553817498612242182511201/17247704289226727713711237826886811718637438670984583884254865554027849503521,0.900010013289392,17247704289226727713711237826886811718637438670984583884254865554027849503521/15523106566558450998462565541186824443423178474613148553817498612242182511201,1.1110987491629796,4871261127767660270099861767728395952946690792739240690326764232493058797844662007449601,4384183792338270690889134029427477742180329105516728171842671616122420358754303020623681,291.1400525349627,292,352,2957312,2937888,1714.0268375961912
cross_blocks_8,integral_rational,4 blocks: ||x_block||_1 <= 93,32,2,1/2,93,(L_8(91)/L_8(93))^4,962955845736956109833822437319389309877391139513186561/1922189788447292004818041458122750460227528404390056001,0.5009681414002378,1922189788447292004818041458122750460227528404390056001/962955845736956109833822437319389309877391139513186561,1.9961349182902859,1922189788447292004818041458122750460227528404390056001,962955845736956109833822437319389309877391139513186561,179.32965867694656,180,256,34596,33124,182.0
cross_blocks_8,integral_rational,4 blocks: ||x_block||_1 <= 223,32,2,3/4,223,(L_8(221)/L_8(223))^4,765039749304326313569370616831670732564526011537902995183694561/1019960681363122661367208153735887515908896123876444998903974561,0.7500678832853555,1019960681363122661367208153735887515908896123876444998903974561/765039749304326313569370616831670732564526011537902995183694561,1.3332126628591567,2448925595952857509942666777119865925697259593427344442368442920961,1836860438079687478880058851012841428887426953702505091436050640961,220.12449627935862,221,288,198916,195364,442.0
cross_blocks_8,integral_rational,4 blocks: ||x_block||_1 <= 608,32,2,9/10,608,(L_8(606)/L_8(608))^4,2186921204614664922474373956469783900233592404923564366943006626858726737921/2429880559862088984403058154623673876881067921933203465131249667645370079681,0.900011811584182,2429880559862088984403058154623673876881067921933203465131249667645370079681/2186921204614664922474373956469783900233592404923564366943006626858726737921,1.1110965290997914,202946054240241534066327820132323865870983673907783086611227103491408954425036801,182653845930621428989982187218312821131409871251621019491446856481867715877899841,266.62335972216835,267,352,1478656,1468944,1212.0
hexagon_blocks,integral_rational,"16 blocks: |x|,|y|,|x+y| <= 93",32,2,1/2,93,(H(91)/H(93))^16,25089051872086838755392253560604855238283637029448012456185537924137281/50116168412942338117409340590712713192192134004445284548901892656208961,0.5006179176620309,50116168412942338117409340590712713192192134004445284548901892656208961/25089051872086838755392253560604855238283637029448012456185537924137281,1.9975313801594772,50116168412942338117409340590712713192192134004445284548901892656208961,25089051872086838755392253560604855238283637029448012456185537924137281,233.86202459372,234,256,276768,264992,514.7737367038065
