parameter_set,test_case_id,rho_sha256,rank_defect,classical_defect_budget,passes_classical_budget,qrom_defect_budget,passes_qrom_budget
ML-DSA-87,61,ab7e46d065568b3b38c0875de0fcd19e619fa5c3049f40e1f9e464efc9d8774d,0,400,True,368,True
ML-DSA-87,62,7c2e1caf3f2e5ddd9547308532982e3444aee9f329229f8ef0b4cf14487c4219,0,400,True,368,True
ML-DSA-87,63,758a8bbee42237406b9979689599ab5a4788acaf4e6956802ef08d29b412d32a,0,400,True,368,True
ML-DSA-87,64,096c900508cb59a28ffb863d2d9d8a538d7b92573423984b7a9579362b9de0b0,0,400,True,368,True
ML-DSA-87,65,42325755a1872543a50eff46dcc983ad8f402d822402665edba604220ad75a32,0,400,True,368,True
ML-DSA-87,66,dfde0abc6e9e1e4e4c2e76452c675137c20a3392e855a44dbc299fed5d041523,0,400,True,368,True
ML-DSA-87,67,b2e96b1611bf44a9d9f20980a375c8ec1aaedcf4ca078521fc4d72b24ef3c8d5,0,400,True,368,True
ML-DSA-87,68,415d955c84bd1955530abcc69b19bddfe0062dee25175096c8278242b5904dcf,0,400,True,368,True
ML-DSA-87,69,ef4b9d4668c00a79c22897c2b15c68a3e11f28008b2e9aa646fe58c4543d6f8e,0,400,True,368,True
ML-DSA-87,70,3a9e3acce8bad30a3b322641ee84a1cf717b8f33a111048ab5f4cf44b71a3526,0,400,True,368,True
ML-DSA-87,71,b25b871ee386aac9c8f140e682f3b858c44a3f98d5e8cab0866e0a35467a2886,0,400,True,368,True
ML-DSA-87,72,e77cc49fba064702b9dd16c911f6de3ccc8f8befacddd94a99b3853d89026d3b,0,400,True,368,True
ML-DSA-87,73,defbe4a016b39189a8bf82e3cf78d76191ff655590b9d0e612eb0fdaaf8e50c6,0,400,True,368,True
ML-DSA-87,74,33ad1b81484b20e19c65e03cce85b3c935ae8553a61989aad990c4274a54c990,0,400,True,368,True
ML-DSA-87,75,0dc6b07b2361d6c69013376370d9c18352d0fcdff560ee9eda09ca0b0aee8c06,0,400,True,368,True
